Bot,Wins,Draws,Losses,AvgPoints
Botnia and Herzebotvina,7,0,0,49.285714285714285
Laser Bot,6,2,0,49.6875
Thinking Bot,6,1,0,47.5
Two Move Bot,5,2,0,45.0
G2EBot,5,0,2,47.857142857142854
Assassin Bot,4,3,0,50.0
Random Bot,4,1,2,50.785714285714285
Restrictor Bot,4,1,2,52.92857142857143
Hitman Bot,3,3,1,45.357142857142854
Pawn Bot,3,3,1,49.07142857142857
BOTential,3,2,2,48.285714285714285
Bottus Maximus,3,1,3,47.142857142857146
Savage Beastbot,3,1,3,49.57142857142857
Bots United,2,4,1,45.142857142857146
One Piece Random Bot,2,3,2,42.642857142857146
Kamikaze Bot,2,3,2,44.785714285714285
Migrating Bot,2,3,3,47.9375
Bloodbot,2,3,2,48.07142857142857
Marching Bot,2,3,2,50.214285714285715
Equality Bot,2,1,4,49.285714285714285
Botdefender,2,0,5,47.42857142857143
One Move Bot,1,6,0,46.0
Christopher Columbot,1,5,1,48.357142857142854
Botfish,1,4,2,46.785714285714285
5x Random Bot,1,3,3,45.142857142857146
Shield Bot,1,1,5,45.642857142857146
Bot Ross,1,1,5,51.92857142857143
Lobotomy,0,6,1,45.785714285714285
Adventurous King Bot,0,4,3,44.285714285714285
Idiot,0,4,3,46.142857142857146
Counting Bot,0,4,5,47.833333333333336
Abilibot,0,0,7,43.92857142857143
