Match,Turns,Winner,Result
Equality Bot vs Botdefender,183,-, Draw by Moves Without Capture
G2EBot vs Bottus Maximus,177,-, Draw by Moves Without Capture
Equality Bot vs Shield Bot,128,-, Draw by Repetition
Botdefender vs Abilibot,107,-, Draw by Moves Without Capture
Bot Ross vs Idiot,97,Bot Ross,White Won by Checkmate
Counting Bot vs Migrating Bot,95,-, Draw by Stalemate
Counting Bot vs Bots United,93,-, Draw by Moves Without Capture
Bot Ross vs 5x Random Bot,92,-, Draw by Stalemate
Idiot vs Abilibot,92,-, Draw by Stalemate
Savage Beastbot vs Restrictor Bot,91,-, Draw by Moves Without Capture
