Match,Turns,Winner,Result
Idiot vs One Piece Random Bot,3,One Piece Random Bot,Black Won by Opposing King Death
Counting Bot vs Two Move Bot,3,Two Move Bot,Black Won by Opposing King Death
Restrictor Bot vs Botnia and Herzebotvina,3,Botnia and Herzebotvina,Black Won by Opposing King Death
Assassin Bot vs Restrictor Bot,3,Assassin Bot,White Won by Opposing King Death
Abilibot vs Shield Bot,3,Abilibot,White Won by Opposing King Death
Savage Beastbot vs Thinking Bot,3,Thinking Bot,Black Won by Opposing King Death
Lobotomy vs BOTential,4,BOTential,Black Won by Opposing King Death
Assassin Bot vs Bloodbot,4,Bloodbot,Black Won by Opposing King Death
Bloodbot vs Counting Bot,4,Bloodbot,White Won by Opposing King Death
Restrictor Bot vs Bloodbot,4,Bloodbot,Black Won by Opposing King Death
