Bot,AvgTurns
Idiot,31.714285714285715
Random Bot,30.857142857142858
BOTential,23.428571428571427
Equality Bot,22.428571428571427
Savage Beastbot,22.142857142857142
Pawn Bot,19.571428571428573
Lobotomy,19.0
Bottus Maximus,16.714285714285715
Hitman Bot,16.428571428571427
Balance Bot,16.142857142857142
One Piece Random Bot,14.571428571428571
Migrating Bot,13.285714285714286
Restrictor Bot,12.571428571428571
Thinking Bot II,12.285714285714286
Two Move Bot,8.428571428571429
Speedrunner Bot,7.857142857142857
